Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR
Albert Pujols,STL,DH,42,24,0.51,0.365,151,1.4,1.8
Alejandro Kirk,TOR,DH,23,14,1.09,0.351,129,1.1,3.8
Andrew McCutchen,MIL,DH,35,17,0.46,0.325,98,3,0.3
Bryce Harper,PHI,DH,29,18,0.53,0.38,138,4.6,2.4
Byron Buxton,MIN,DH,28,28,0.29,0.358,136,6.5,4
Carlos Santana,- - -,DH,36,19,0.81,0.352,102,1,1
Charlie Blackmon,COL,DH,35,16,0.29,0.301,89,4.5,0.1
Daniel Vogelbach,- - -,DH,29,18,0.64,0.35,128,1.5,1.5
Darin Ruf,- - -,DH,35,11,0.43,0.31,89,3.4,-0.7
Donovan Solano,CIN,DH,34,4,0.31,0.315,98,0.7,0.5
Eloy Jimenez,CHW,DH,25,16,0.39,0.365,144,1,1.7
Franmil Reyes,- - -,DH,26,14,0.19,0.275,80,3.2,-1.1
Garrett Cooper,MIA,DH,31,9,0.34,0.341,115,1.8,1.4
Gary Sanchez,MIN,DH,29,16,0.29,0.321,89,2.3,1.3
George Springer,TOR,DH,32,25,0.54,0.342,132,6,4.2
Giancarlo Stanton,NYY,DH,32,31,0.36,0.351,115,0.9,1.2
Harold Ramirez,TBR,DH,27,6,0.26,0.314,119,2.2,1.2
J.D. Davis,- - -,DH,29,12,0.32,0.353,119,2.9,0.9
J.D. Martinez,BOS,DH,34,16,0.36,0.349,119,2.1,1
Jesus Aguilar,- - -,DH,32,16,0.24,0.298,86,1.5,-0.4
Justin Turner,LAD,DH,37,13,0.56,0.339,123,2.8,2.4
Ketel Marte,ARI,DH,28,12,0.54,0.315,102,4.2,1.4
Luis Arraez,MIN,DH,25,8,1.16,0.333,131,3,3.2
Luke Voit,- - -,DH,31,22,0.31,0.322,102,1.5,0.2
Marcell Ozuna,ATL,DH,31,23,0.25,0.337,89,2.4,-0.6
Miguel Cabrera,DET,DH,39,5,0.28,0.275,79,1.3,-1.5
Nelson Cruz,WSN,DH,41,10,0.41,0.32,85,3,-0.8
Salvador Perez,KCR,DH,32,23,0.17,0.326,109,1.5,0.5
Shohei Ohtani,LAA,DH,27,34,0.45,0.385,142,4.7,3.8
Trey Mancini,- - -,DH,30,18,0.39,0.327,104,1.5,0.9
William Contreras,ATL,DH,24,20,0.38,0.347,138,3.4,2.4
Willson Contreras,CHC,DH,30,22,0.44,0.364,132,4.2,3.3
Yordan Alvarez,HOU,DH,25,37,0.74,0.462,185,3,6.6